Наименование,Код ТНВЭД,Цена без НДС,Импорт,Производитель,Дата цены,Требования и техпараметры,Примечание,Перечень БЭСК,Единственный производитель в РБ,Наличие отечественного производителя,Наличие производителя в ГПО,Еденица измерения количества,Не РЗА,Золото,Серебро,Фото
Цифровой преобразователь ЦП8507/2,9030331000,502,Нет,Электроприбор,30.12.2016,Iвх=0-5А. Iвых=4-20мА. RS485. 220В. кл.точности 0.5,,1.1 Электротехническое оборудование: Радио-. электроизмерительные приборы. приборы релейной защиты и автоматического контроля. установки ии приборы для испытания электрооборудования,Нет,РБ,Нет,шт.,Нет,,,0
Цифровой преобразователь ЦП8512,9030331000,502,Нет,Электроприбор,30.12.2016,,,1.1 Электротехническое оборудование: Радио-. электроизмерительные приборы. приборы релейной защиты и автоматического контроля. установки ии приборы для испытания электрооборудования,Нет,РБ,Нет,шт.,Нет,,,0
Цоколь GUC-11 к реле RUC на рейку DIN 35мм или панель,8536,8.39,Да,Relpol,16.08.2018,,,2.1 Комплектующие и материалы: Реле. контакторы всех типов,Нет,Нет,Нет,шт.,Нет,,,0
Цоколь GZT-4 к реле R4N на рейку DIN 35мм или панель,8536,3.16,Да,Relpol,05.10.2017,,,2.1 Комплектующие и материалы: Реле. контакторы всех типов,Нет,Нет,Нет,шт.,Нет,,,0
Часть к замку CT «Mesan»,8301401100,1.5,Нет,Mesan. Турция,30.07.2020,,,Хозтовары и хозинветарь,Нет,Нет,Нет,шт,Нет,,,https://www.mesanlocks.com/YuklenenDosyalar/UrunKataloglari/139344f8-e41b-4873-bc9c-02ca2b92d44a.pdf
Часть к замку CY.1.20 «Mesan»,8301401100,15,Нет,Mesan. Турция,30.07.2020,,,Хозтовары и хозинветарь,Нет,Нет,Нет,шт,Нет,,,https://www.mesanlocks.com/YuklenenDosyalar/UrunKataloglari/139344f8-e41b-4873-bc9c-02ca2b92d44a.pdf
Часть к замку IC.2.1000 «Mesan»,8301401100,5,Нет,Mesan. Турция,30.07.2020,,,Хозтовары и хозинветарь,Нет,Нет,Нет,шт,Нет,,,https://www.mesanlocks.com/YuklenenDosyalar/UrunKataloglari/139344f8-e41b-4873-bc9c-02ca2b92d44a.pdf
Шкаф АРН двух трансформаторов (на МР-851),853710,16000,Нет,"РУП ""БЭМН""",30.07.2020,,,1.1 Электротехническое оборудование: Щитовая продукция (ящики силовые. шкафы вводно-распределительные. щиты освещения и т.д.),,,,шт,Нет,,,0
Шкаф зажммов ТН ШЗН-1В,853710,2000,Нет,"РУП ""БЭМН""",04.11.2020,,,1.1 Электротехническое оборудование: Щитовая продукция (ящики силовые. шкафы вводно-распределительные. щиты освещения и т.д.),,,,,Нет,,,0
Шкаф защиты трансформатора (2 комплекса на МР-801),853710,24000,Нет,"РУП ""БЭМН""",30.07.2020,,,1.1 Электротехническое оборудование: Щитовая продукция (ящики силовые. шкафы вводно-распределительные. щиты освещения и т.д.),,,,,Нет,,,0
Шкаф отбора напряжения ШОН,8536,1500,Да,,,,,1.1 Электротехническое оборудование: Щитовая продукция (ящики силовые. шкафы вводно-распределительные. щиты освещения и т.д.),Нет,Нет,Нет,шт.,Нет,,,
Шкаф промежуточных зажимов,853710,3200,Нет,"РУП ""БЭМН""",30.07.2020,,,1.1 Электротехническое оборудование: Щитовая продукция (ящики силовые. шкафы вводно-распределительные. щиты освещения и т.д.),Нет,РБ,Есть,шт.,Нет,,,0
Шкаф РЗА (металлоконструкция),853710,1000,Нет,ЦРО,05.11.2020,,,1.1 Электротехническое оборудование: Щитовая продукция (ящики силовые. шкафы вводно-распределительные. щиты освещения и т.д.),Нет,РБ,Есть,шт.,Нет,,,0
Шкаф РЗА ВЛ-110кВ (2 комплекса),8536,25650,Нет,"РУП ""БЭМН""",16.02.2021,,,1.1 Электротехническое оборудование: Щитовая продукция (ящики силовые. шкафы вводно-распределительные. щиты освещения и т.д.),Нет,РБ,Есть,шт.,Нет,,,0
Шкаф телемеханики с ПНР,853710,80000,Нет,,,,,1.1 Электротехническое оборудование: Щитовая продукция (ящики силовые. шкафы вводно-распределительные. щиты освещения и т.д.),,,,шт.,Нет,,,0
Шкаф ЦРО РЗА трансформатора 35кВ ,853710,700,Нет,,30.07.2020,,,1.1 Электротехническое оборудование: Щитовая продукция (ящики силовые. шкафы вводно-распределительные. щиты освещения и т.д.),Нет,РБ,Есть,шт.,Нет,,,0
"Щетка-метла круглая с черенком (СООО ""Браш Мастер"" РБ)",4814907009,10,Нет,,10.05.2019,Толщина полипропиленовой нити от 1 до 4мм,,Хозтовары и хозинветарь,Нет,Есть,,шт.,Нет,,,0
Экспресс-тест на наркотики,3822000000,9,Да,,30.07.2020,,,Хозтовары и хозинветарь,,Нет,Нет,шт.,Да,,,
Электромонтажные клещи(1000V.KNIPEX 13 96 200),8203,160,Да,,31.01.2019,Захват круглых и плоских поверхностей. загибание. снятие фаски. резка кабеля. снятие изоляции. обжимка контактных гильз.,,Слесарный. монтажный. строительный. образивный инструмент и электроинструмент,Нет,Да,Нет,шт.,Нет,,,0
Электрочайник,8516797000,25,Нет,,30.07.2020,,,Хозтовары и хозинветарь,,РБ,Нет,шт.,Да,,,
Элемент настройки для высокочастотного заградителя ВЗ – 2000 – 0.5 – УХЛ1 (130 – 1000кГц),8535400000,2500,Да,,03.05.2021,"Номинальное напряжение ВЛ -330кВ; номинальный длительный ток - 2000 А; Индуктивность реактора ВЗ -0.5 мГн; Полоса частот заграждения (130 - 1000)кГц; Активная состав-ляющая полного сопротивления. Ом. не менее- 470.
",,1.1 Электротехническое оборудование: Радио-. электроизмерительные приборы. приборы релейной защиты и автоматического контроля. установки ии приборы для испытания электрооборудования,,нет,нет,шт.,,,,
Эмаль ПФ-115 синяя-транспортная 2 кг.,8203,17,Нет,,11.03.2021,,,Строительные материалы,Нет,Есть,Нет,шт.,Нет,,,
Эмаль ПФ-115 белая 2 кг.,8203,17,Нет,,11.03.2021,,,Строительные материалы,Нет,Есть,Нет,шт.,Нет,,,0
Эмаль ПФ-115 чёрная 2 кг.,8203,17,Нет,,11.03.2021,,,Строительные материалы,Нет,Есть,Нет,шт.,Нет,,,0
Эмаль ПФ-266 для пола светло-коричневая 2 кг.,8203,14,Нет,,31.01.2019,,,Строительные материалы,,,,шт.,Нет,,,0
Ящик для инструмента(полипропилен. PARAT PROFI-LINE XL-5811000391),8203,128,Да,,31.01.2019,,,Слесарный. монтажный. строительный. образивный инструмент и электроинструмент,Нет,РБ,Нет,шт.,Нет,,,0
Ящик клеммный для Р-110кВ,8536,496,Нет,ЦРО,16.08.2018,,,1.1 Электротехническое оборудование: Щитовая продукция (ящики силовые. шкафы вводно-распределительные. щиты освещения и т.д.),Нет,РБ,Есть,шт.,Нет,,,0
Ящик РЗА (металлоконструкция),8536,500,Нет,ЦРО,14.01.2015,,,1.1 Электротехническое оборудование: Щитовая продукция (ящики силовые. шкафы вводно-распределительные. щиты освещения и т.д.),Нет,РБ,Есть,шт.,Нет,,,0
DIN-рейка 35мм для клемм 2м,8536,18.8,Да,,16.08.2018,,,Электроаппараты,Нет,Нет,Нет,шт.,Нет,,,0
DIN-рейка 35мм для клемм 60 см,8536,1.8,Да,,16.08.2018,,,Электроаппараты,Нет,Нет,Нет,шт.,Нет,,,0
